sample,isi,spike_num,amp,NAME,DESC,SIZE,COLOR,PIC
4591,0.13303,-1,-1875.4,NaN,NaN,200,0,http://scalablephysiology.org/images/probe.png
5827,0.0412,-1,-1841.9,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
7755,0.064267,-1,-1794.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
22702,0.49823,1,-2051.2,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
22929,0.0075667,2,-1783.6,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
23081,0.0050667,3,-750.43,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
23318,0.0079,4,-138.9,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
23693,0.0125,5,-283.7,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike_test.png
24281,0.0196,6,-901.86,NaN,NaN,200,1,http://web.media.mit.edu/~bdallen/spike_test.png
30149,0.1956,-1,-1683.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
35712,0.18543,-1,-1756.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
41473,0.19203,-1,-1918.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
44744,0.10903,-1,-1876.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
47774,0.101,1,-1688.2,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
48265,0.016367,2,-1373.6,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
51125,0.095333,-1,-1836.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
57856,0.22437,-1,-1651.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
58966,0.037,-1,-1379.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
59965,0.0333,-1,-1727,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
61458,0.049767,-1,-1642,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
63534,0.0692,-1,-1412,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
67126,0.11973,-1,-1388,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
71221,0.1365,1,-2236.2,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
71651,0.014333,2,-1704.8,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
75614,0.1321,-1,-1792.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
78138,0.084133,-1,-2037.4,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
80912,0.092467,-1,-1389.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
83605,0.089767,-1,-1702.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
84257,0.021733,-1,-1810.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
86543,0.0762,-1,-1433.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
91879,0.17787,-1,-1475.7,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
97588,0.1903,-1,-1852.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
1.02E+05,0.15323,1,-1866.8,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
1.03E+05,0.011367,2,-1630.9,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
1.03E+05,0.0068667,3,-934.55,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
1.03E+05,0.0085,4,-378.38,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
1.50E+05,1.5646,-1,-1869.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
1.69E+05,0.64153,-1,-2257.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
1.75E+05,0.19923,-1,-1755.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
1.80E+05,0.1651,-1,-1932,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
1.81E+05,0.0238,-1,-1848.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
1.98E+05,0.5831,-1,-1740.9,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.04E+05,0.17643,-1,-1978.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.23E+05,0.6555,1,-2127.6,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
2.24E+05,0.014333,2,-1774.7,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
2.24E+05,0.0050333,3,-1187.5,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
2.24E+05,0.0051333,4,-268.17,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
2.24E+05,0.009,5,-194.09,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike_test.png
2.29E+05,0.17353,-1,-1953.8,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.36E+05,0.2066,-1,-1346,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.39E+05,0.0981,1,-1501.5,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
2.39E+05,0.019667,2,-1847.7,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
2.40E+05,0.0129,3,-1142.7,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
2.43E+05,0.12057,-1,-1749.5,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.44E+05,0.026833,-1,-1437.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.49E+05,0.16097,1,-1759.9,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
2.49E+05,0.016367,2,-1631.9,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
2.54E+05,0.13937,-1,-1820.7,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.57E+05,0.12043,-1,-1587.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.59E+05,0.057167,-1,-1471.9,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
2.61E+05,0.076267,-1,-1467.4,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
